"Source:","/home/strav/devel/diy-synth/mixer/mixer/mixer.kicad_sch"
"Date:","Sat 20 Aug 2022 07:41:01 AM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C3","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C4","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","D1","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"","","D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"","","J1","Power Connector","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","ULO Group","BHD10PHZT","Tayda","A-2939"
"","","J2","Input 1","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","J3","Input 2","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","J4","Input 3","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","J5","Input 4","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","J6","Front_Board_Con","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","4 Female Pin Header","Tayda","A-1303"
"","","J7","Front_Board_Balance","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","4 Female Pin Header","Tayda","A-1303"
"","","J8","Back_Board_Conn","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","PHSS12G10","Tayda","A-5776"
"","","J9","Back_Board_Balance","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","PHSS12G10","Tayda","A-5776"
"","","J10","Output","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","J11","Inverted","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"","","R1","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R3","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R6","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","R7","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R8","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"","","R9","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"","","RV1","R_Potentiometer","Device:R_Potentiometer","SamacSys_Parts:RD901F4015R1B100K00DL1","~","ALPHA","RV09AF-40-20K-B100K","Tayda","A-1851"
"","","RV2","R_Potentiometer","Device:R_Potentiometer","SamacSys_Parts:RD901F4015R1B100K00DL1","~","ALPHA","RV09AF-40-20K-B100K","Tayda","A-1851"
"","","RV3","R_Potentiometer","Device:R_Potentiometer","SamacSys_Parts:RD901F4015R1B100K00DL1","~","ALPHA","RV09AF-40-20K-B100K","Tayda","A-1851"
"","","RV4","R_Potentiometer","Device:R_Potentiometer","SamacSys_Parts:RD901F4015R1B100K00DL1","~","ALPHA","RV09AF-40-20K-B100K","Tayda","A-1851"
"","","U1","TL072","Amplifier_Operational:TL072","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","VARIOUS","TL072CP","Tayda","A-037"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"1","2","C1, C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","AISHI","WK1CM100D11OT","Tayda","A-3931"
"2","2","C3, C4","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"3","2","D1, D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","TEC","1N5817","Tayda","A-252"
"4","1","J1","Power Connector","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","ULO Group","BHD10PHZT","Tayda","A-2939"
"5","1","J2","Input 1","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"6","1","J3","Input 2","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"7","1","J4","Input 3","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"8","1","J5","Input 4","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"9","1","J6","Front_Board_Con","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","4 Female Pin Header","Tayda","A-1303"
"10","1","J7","Front_Board_Balance","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","4 Female Pin Header","Tayda","A-1303"
"11","1","J8","Back_Board_Conn","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","PHSS12G10","Tayda","A-5776"
"12","1","J9","Back_Board_Balance","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","GTK","PHSS12G10","Tayda","A-5776"
"13","1","J10","Output","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"14","1","J11","Inverted","Connector:AudioJack2_SwitchT","AudioJacks:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","~","Tayda","PJ-3001F","Tayda","A-2563"
"15","7","R1, R2, R3, R4, R5, R6, R9","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1003A50","Tayda","A-2248"
"16","2","R7, R8","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","Royal Ohm","MF0W4FF1001A50","Tayda","A-2200"
"17","4","RV1, RV2, RV3, RV4","R_Potentiometer","Device:R_Potentiometer","SamacSys_Parts:RD901F4015R1B100K00DL1","~","ALPHA","RV09AF-40-20K-B100K","Tayda","A-1851"
"18","1","U1","TL072","Amplifier_Operational:TL072","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","VARIOUS","TL072CP","Tayda","A-037"
